,C,I,Q
2011-03-01,23.9,5.5,0.21448370649523388
2011-04-01,23.8,5.7,0.21631893193842097
2011-05-01,23.8,5.9,0.21556711262029163
2011-06-01,23.6,5.9,0.21588266551847277
2011-07-01,23.5,6.1,0.21338003147048373
2011-08-01,23.7,6.3,0.2142054660256966
2011-09-01,24.2,6.4,0.21630967894994374
2011-10-01,24.7,6.5,0.21799100058123969
2011-11-01,24.6,6.6,0.21826221719785385
2011-12-01,24.6,6.7,0.21331410879746057
2012-01-01,24.5,6.9,0.21806653595598002
2012-02-01,24.5,7.0,0.2219530188435359
2012-03-01,24.5,7.0,0.22150582395277613
2012-04-01,24.5,7.1,0.22212333259424535
2012-05-01,24.5,7.2,0.22076975388353595
2012-06-01,24.4,7.1,0.21972005108711626
2012-07-01,24.1,7.2,0.21771959147448516
2012-08-01,23.8,7.2,0.21631590914832874
2012-09-01,23.6,7.2,0.22040913153171432
2012-10-01,23.4,7.1,0.2193257789363551
2012-11-01,23.5,7.0,0.21845169373046133
2012-12-01,23.5,6.9,0.2113327832216916
2013-01-01,23.6,6.8,0.213931336725321
2013-02-01,23.5,6.7,0.2182484042507248
2013-03-01,23.2,6.6,0.21810285851969669
2013-04-01,23.0,6.5,0.2185958097911715
2013-05-01,22.7,6.6,0.21722224330139137
2013-06-01,22.6,6.3,0.21780101631227436
2013-07-01,22.5,6.2,0.2160378170270998
2013-08-01,22.6,6.1,0.21671673191714938
2013-09-01,22.7,6.1,0.2198416824131605
2013-10-01,22.7,5.9,0.219139161584949
2013-11-01,22.8,5.7,0.21876028763198777
2013-12-01,23.0,5.7,0.21195715881393135
2014-01-01,23.0,5.7,0.2156662321708225
2014-02-01,23.0,5.6,0.22029940111714427
2014-03-01,22.9,5.6,0.22247824957623827
2014-04-01,22.9,5.6,0.22543324038163617
2014-05-01,23.0,5.7,0.22492055443315556
2014-06-01,23.1,5.6,0.22744533627097638
2014-07-01,23.2,5.7,0.22474645673870605
2014-08-01,23.0,5.7,0.22483682175955816
2014-09-01,23.0,5.7,0.22548003537619968
2014-10-01,23.1,5.6,0.22394975408781073
2014-11-01,23.4,5.5,0.22231183843106694
2014-12-01,23.8,5.3,0.2146186410844288
2015-01-01,24.3,5.3,0.21865842097561286
2015-02-01,24.5,5.3,0.22354324436115183
2015-03-01,24.4,5.2,0.22304185418713451
2015-04-01,24.6,5.3,0.22614237953718574
2015-05-01,24.6,5.4,0.22640565745072838
2015-06-01,24.6,5.3,0.2270579781342783
2015-07-01,24.7,5.4,0.22564557647162484
2015-08-01,24.7,5.6,0.2269323866994425
2015-09-01,25.0,5.7,0.2278941804780362
2015-10-01,24.6,5.8,0.22870230271824635
2015-11-01,24.1,6.0,0.22859708578851728
2015-12-01,23.3,6.2,0.22139507285452184
2016-01-01,23.6,6.2,0.22513918081262452
2016-02-01,23.7,6.2,0.22919250400413813
2016-03-01,24.0,6.2,0.2287022668226405
2016-04-01,24.0,6.2,0.23144139308075132
2016-05-01,24.2,6.3,0.2309385636370666
2016-06-01,24.3,6.2,0.2300556887626649
2016-07-01,24.1,6.2,0.22849062760596062
2016-08-01,24.1,6.2,0.22746482201444182
2016-09-01,24.1,6.2,0.2283736765590723
2016-10-01,24.0,6.2,0.22773937899659197
2016-11-01,23.8,6.1,0.2245297737927425
2016-12-01,23.5,6.0,0.21531187241874442
2017-01-01,23.4,6.0,0.2181368107409092
2017-02-01,23.3,5.9,0.2205197880620159
2017-03-01,23.2,5.9,0.21862865235998646
2017-04-01,22.8,5.8,0.2200929417920177
2017-05-01,22.4,5.9,0.21917533071156417
2017-06-01,22.3,5.7,0.21759113080093676
2017-07-01,22.6,5.7,0.21615740892179347
2017-08-01,22.9,5.7,0.21460953600801247
2017-09-01,23.1,5.6,0.21354972036359957
2017-10-01,22.8,5.5,0.21359147005768783
2017-11-01,22.6,5.4,0.21125521085455665
2017-12-01,22.4,5.2,0.20273586615300976
2018-01-01,22.2,5.2,0.20480762109317138
2018-02-01,22.2,5.1,0.209548828152231
2018-03-01,22.3,5.1,0.20772116105949565
2018-04-01,22.6,5.1,0.20870656355198877
2018-05-01,22.9,5.0,0.20707639397076916
2018-06-01,23.1,4.9,0.20776235124413991
2018-07-01,22.8,5.0,0.20533256535105052
2018-08-01,22.5,5.0,0.20383566047831803
2018-09-01,22.6,4.9,0.20325000165064078
2018-10-01,22.5,4.9,0.20414207595792686
2018-11-01,22.7,4.8,0.20291279238819687
2018-12-01,23.0,4.8,0.19814075411247883
2019-01-01,23.1,4.8,0.20226938301796854
2019-02-01,23.3,4.7,0.20629534405771024
2019-03-01,23.3,4.7,0.20586705789921608
2019-04-01,23.8,4.7,0.20764699899397493
2019-05-01,24.1,4.8,0.2078155673487014
2019-06-01,25.2,4.8,0.20983985406412722
2019-07-01,24.9,4.8,0.20766596366310006
2019-08-01,25.0,4.9,0.2074831131473929
2019-09-01,24.2,5.0,0.20749635419759824
2019-10-01,23.9,5.0,0.2061406116457954
2019-11-01,23.4,5.0,0.20474069841234954
2019-12-01,23.0,5.0,0.19896653835296996
2020-01-01,23.0,4.9,0.2015906344128766
2020-02-01,22.9,5.1,0.2049617222126288
2020-03-01,23.9,5.2,0.20630491916429955
2020-04-01,23.4,5.5,0.2124041829488596
2020-05-01,21.9,5.6,0.20868293090969928
2020-06-01,20.5,5.3,0.2037288037575383
2020-07-01,20.1,5.1,0.19870199440696776
2020-08-01,20.1,4.9,0.19404920127851807
2020-09-01,20.4,4.6,0.1915773012585851
2020-10-01,21.0,4.5,0.1900961997935539
2020-11-01,21.8,4.3,0.1854385185013807
2020-12-01,22.5,4.2,0.18188036106549943
2021-01-01,22.7,4.1,0.18587145573275934
2021-02-01,22.5,4.1,0.1904600509602341
2021-03-01,22.8,4.0,0.19255349571166044
2021-04-01,22.8,4.0,0.194199271170299
2021-05-01,23.2,4.1,0.19449661626059997
2021-06-01,23.3,4.0,0.19583040684446082
2021-07-01,23.7,4.1,0.19614756648067308
2021-08-01,24.1,4.1,0.19956273559817594
2021-09-01,25.0,4.2,0.20338436401094023
2021-10-01,25.8,4.2,0.20720548328903052
2021-11-01,26.1,4.3,0.2077732597443219
2021-12-01,26.3,4.4,0.20733713910830587
2022-01-01,26.7,4.6,0.2160652662084651
2022-02-01,26.2,4.7,0.22152737483792864
2022-03-01,25.9,4.8,0.22187438969751974
2022-04-01,26.0,5.0,0.22303466501517558
2022-05-01,25.8,5.3,0.2236469469438087
2022-06-01,26.4,5.2,0.22461180421128923
2022-07-01,26.9,5.5,0.2253502634844697
2022-08-01,27.3,5.6,0.22553931888764536
2022-09-01,27.5,5.7,0.22804936774853413
2022-10-01,27.7,5.8,0.22863914146547634
2022-11-01,27.8,5.8,0.22817534041733692
2022-12-01,27.9,5.9,0.22571206288811435
2023-01-01,28.0,6.1,0.22826724867757306
2023-02-01,28.1,6.1,0.2321667275627601
2023-03-01,28.1,6.1,0.22982591814283246
2023-04-01,28.2,6.2,0.23289045672337247
2023-05-01,28.4,6.3,0.23225311948567204
2023-06-01,28.2,6.3,0.22979562076436755
2023-07-01,27.8,6.2,0.22768905920924074
2023-08-01,27.3,6.1,0.2280235151110713
2023-09-01,27.3,5.9,0.22606299178843264
2023-10-01,27.4,5.9,0.22657269517919276
2023-11-01,27.0,5.8,0.22572071963710644
2023-12-01,26.3,5.6,0.22078813846976736
2024-01-01,26.2,5.5,0.22538230677620577
2024-02-01,26.2,5.5,0.22918006171825966
2024-03-01,26.4,5.4,0.23097542262592966
2024-04-01,26.5,5.5,0.23141489401801757
2024-05-01,26.5,5.5,0.2304735908828276
2024-06-01,26.8,5.4,0.2295633119176595
2024-07-01,27.0,5.5,0.22873467955030763
2024-08-01,27.3,5.5,0.22985705583481922
2024-09-01,27.2,5.6,0.2319892207870588
2024-10-01,27.2,5.4,0.23209648328633192
2024-11-01,27.1,5.3,0.2308112917621809
2024-12-01,27.5,5.2,0.22822188379712954
2025-01-01,27.7,5.6,0.23397224178435794
2025-02-01,27.8,5.6,0.23777569973205895
2025-03-01,28.0,5.7,0.23986218693692485
2025-04-01,27.9,6.0,0.24195608989124032
2025-05-01,28.1,6.2,0.24264680298941707
2025-06-01,28.0,6.3,0.2436848819483159
2025-07-01,28.0,6.5,0.24331427166172517
2025-08-01,28.6,6.8,0.24453241709634968
2025-09-01,28.8,6.7,0.24584217105047268
2025-10-01,29.3,6.6,0.2479227732342474
2025-11-01,29.0,6.7,0.24745751126403423
2025-12-01,29.2,6.8,0.2430534003388238
2026-01-01,29.5,6.9,0.2473780901728729
2026-02-01,29.7,7.2,0.2513878650925042
